text,option_a,option_b,option_c,option_d,correct_option,question_type,extra_data
Match physical security mechanisms.,,,,,,drag_and_drop,"{""Bollards"": ""Vehicle barrier"", ""Fencing"": ""Perimeter control"", ""Badge system"": ""Identity access""}"
Match remote access security.,,,,,,drag_and_drop,"{""VPN"": ""Secure tunnel"", ""RDP"": ""Remote desktop"", ""VNC"": ""Cross-platform remote access""}"
Match secure network architecture components.,,,,,,drag_and_drop,"{""Firewall"": ""Traffic filter"", ""IDS"": ""Intrusion detection"", ""Proxy"": ""Anonymize traffic""}"
Match insider threat indicators.,,,,,,drag_and_drop,"{""Accessing files at odd hours"": ""Suspicious behavior"", ""Disabling logging"": ""Covering tracks"", ""Bypassing controls"": ""Malicious intent""}"
Match mobile security threats.,,,,,,drag_and_drop,"{""App permissions"": ""Excessive data access"", ""Unsecured Wi-Fi"": ""Data sniffing"", ""Rooting"": ""Disables protections""}"
Match cryptographic functions.,,,,,,drag_and_drop,"{""Confidentiality"": ""Encryption"", ""Integrity"": ""Hashing"", ""Authentication"": ""Digital signature""}"
Match types of logs.,,,,,,drag_and_drop,"{""Authentication"": ""Login success/fail"", ""System"": ""Device activity"", ""Application"": ""Program actions""}"
Match wireless security protocols.,,,,,,drag_and_drop,"{""WEP"": ""Deprecated"", ""WPA2"": ""Current standard"", ""WPA3"": ""Most secure""}"
Match data destruction methods.,,,,,,drag_and_drop,"{""Shredding"": ""Paper docs"", ""Wiping"": ""Overwrite digital data"", ""Degaussing"": ""Erase magnetic storage""}"
Match user account management practices.,,,,,,drag_and_drop,"{""Disable unused accounts"": ""Reduce attack surface"", ""Password aging"": ""Force changes"", ""Audit logs"": ""Track access""}"
Match secure deployment practices.,,,,,,drag_and_drop,"{""Staging"": ""Pre-production testing"", ""Development"": ""Code creation"", ""Production"": ""Live environment""}"
Match malware delivery vectors.,,,,,,drag_and_drop,"{""Email attachment"": ""Phishing"", ""Malicious link"": ""Drive-by download"", ""USB stick"": ""Removable media""}"
Match role-based access examples.,,,,,,drag_and_drop,"{""HR role"": ""Employee records"", ""IT role"": ""System configurations"", ""Finance role"": ""Payroll systems""}"
Match environmental controls.,,,,,,drag_and_drop,"{""HVAC"": ""Temperature control"", ""Fire suppression"": ""Prevent fire spread"", ""EMI shielding"": ""Block interference""}"
Match symmetric encryption uses.,,,,,,drag_and_drop,"{""File encryption"": ""Speed"", ""VPN traffic"": ""Efficiency"", ""Database encryption"": ""Performance""}"
Match asymmetric encryption uses.,,,,,,drag_and_drop,"{""Email encryption"": ""Public/private keys"", ""Digital signatures"": ""Authentication"", ""Secure key exchange"": ""Diffie-Hellman""}"
Match backup testing methods.,,,,,,drag_and_drop,"{""Full restore"": ""Complete test"", ""Partial restore"": ""Verify key files"", ""Checksum comparison"": ""Verify integrity""}"
Match secure file transfer protocols.,,,,,,drag_and_drop,"{""SCP"": ""Secure copy"", ""SFTP"": ""SSH-based FTP"", ""FTPS"": ""FTP over SSL""}"
Match common monitoring tools.,,,,,,drag_and_drop,"{""NetFlow"": ""Traffic patterns"", ""SNMP"": ""Device status"", ""Syslog"": ""Event logging""}"
Match key cryptographic terms.,,,,,,drag_and_drop,"{""Nonce"": ""Used once"", ""Salt"": ""Hash randomizer"", ""IV"": ""Initialization vector""}"
Match OSI model to examples.,,,,,,drag_and_drop,"{""Layer 3"": ""IP routing"", ""Layer 4"": ""TCP segments"", ""Layer 7"": ""HTTP requests""}"
Match vulnerability scanning results.,,,,,,drag_and_drop,"{""High risk"": ""Immediate attention"", ""Medium risk"": ""Schedule patch"", ""Low risk"": ""Monitor""}"
Match penetration testing teams.,,,,,,drag_and_drop,"{""Red team"": ""Simulated attacker"", ""Blue team"": ""Defender"", ""Purple team"": ""Combined testing""}"
Match email filtering tools.,,,,,,drag_and_drop,"{""Spam filter"": ""Block junk"", ""Antivirus"": ""Scan attachments"", ""DLP"": ""Prevent info leaks""}"
