text,option_a,option_b,option_c,option_d,correct_option,question_type,extra_data
Match VPN benefits.,,,,,,drag_and_drop,"{""Encryption"": ""Secure traffic"", ""Remote access"": ""Work from anywhere"", ""Tunneling"": ""Encapsulate data""}"
Match routing types.,,,,,,drag_and_drop,"{""Static"": ""Manually set"", ""Dynamic"": ""Auto-learned"", ""Default"": ""Fallback route""}"
Match antenna types.,,,,,,drag_and_drop,"{""Omni"": ""360° coverage"", ""Yagi"": ""Directional"", ""Parabolic"": ""Long-distance""}"
Match monitoring metrics.,,,,,,drag_and_drop,"{""Latency"": ""Delay"", ""Jitter"": ""Variation"", ""Throughput"": ""Data rate""}"
Match server roles.,,,,,,drag_and_drop,"{""DHCP"": ""IP assignment"", ""DNS"": ""Name resolution"", ""File"": ""Data storage""}"
Match interference types.,,,,,,drag_and_drop,"{""RFI"": ""Radio noise"", ""EMI"": ""Magnetic noise"", ""Crosstalk"": ""Signal bleeding""}"
Match network policies.,,,,,,drag_and_drop,"{""Acceptable use"": ""Proper behavior"", ""Password policy"": ""Credential rules"", ""Remote access"": ""VPN rules""}"
Match switch behavior.,,,,,,drag_and_drop,"{""Flood"": ""Unknown MAC"", ""Forward"": ""Known MAC"", ""Filter"": ""Drop frame""}"
Match routing tables.,,,,,,drag_and_drop,"{""Metric"": ""Cost of route"", ""Next hop"": ""Where to go"", ""Destination"": ""Final network""}"
Match radio frequency metrics.,,,,,,drag_and_drop,"{""Signal strength"": ""Power level"", ""Noise floor"": ""Background noise"", ""SNR"": ""Signal-to-noise ratio""}"
Match address types to protocols.,,,,,,drag_and_drop,"{""IP"": ""Internet Protocol"", ""MAC"": ""Ethernet"", ""Port"": ""TCP/UDP""}"
Match log types.,,,,,,drag_and_drop,"{""System"": ""Device events"", ""Security"": ""Access logs"", ""Application"": ""Software errors""}"
Match patching methods.,,,,,,drag_and_drop,"{""Manual"": ""Admin-initiated"", ""Automated"": ""Policy-based"", ""Scheduled"": ""Timed update""}"
Match common resolutions.,,,,,,drag_and_drop,"{""1920x1080"": ""Full HD"", ""1280x720"": ""HD"", ""3840x2160"": ""4K UHD""}"
Match IPv6 components.,,,,,,drag_and_drop,"{""Prefix"": ""Network portion"", ""Interface ID"": ""Host portion"", ""Subnet ID"": ""Subnet""}"
Match command outputs.,,,,,,drag_and_drop,"{""ipconfig"": ""IP settings"", ""arp -a"": ""MAC cache"", ""netstat"": ""Active connections""}"
Match bandwidth units.,,,,,,drag_and_drop,"{""Kbps"": ""1,000 bps"", ""Mbps"": ""1,000,000 bps"", ""Gbps"": ""1,000,000,000 bps""}"
Match media types to speeds.,,,,,,drag_and_drop,"{""Cat5e"": ""1 Gbps max"", ""Cat6a"": ""10 Gbps"", ""Fiber"": ""Up to 100 Gbps""}"
Match DHCP options.,,,,,,drag_and_drop,"{""Option 3"": ""Default gateway"", ""Option 6"": ""DNS server"", ""Option 15"": ""Domain name""}"
Match segmentation methods.,,,,,,drag_and_drop,"{""VLAN"": ""Logical LANs"", ""Subnet"": ""IP division"", ""Physical"": ""Separate hardware""}"
